EmpID,NamePrefix,FirstName,MiddleInitial,LastName,Gender,EMail,FatherName,MotherName,MotherMaidenName,DateofBirth,TimeofBirth,AgeinYrs,WeightinKgs,DateofJoining,QuarterofJoining,HalfofJoining,YearofJoining,MonthofJoining,MonthNameofJoining,ShortMonth,DayofJoining,DOWofJoining,ShortDOW,AgeinCompanyYears,Salary,LastHike,SSN,PhoneNo,PlaceName,County,City,State,Zip,Region,UserName,Password
882966,Mrs,Gwyn,E,Etzel,F,gwynetzel@aolcom,Sebastian Etzel,Joshua Etzel,Marden,5/20/1970,02:36:41 PM,4722,60,3/1/2012,Q1,H1,2012,3,March,Mar,1,Thursday,Thu,541,120580,14%,640-29-9264,405-775-9884,Bromide,Johnston,Bromide,OK,74530,South,geetzel,c@sLdGgxI[sE|aJ
189028,Ms,Ressie,I,Goodwyn,F,ressiegoodwyn@charternet,Lucien Goodwyn,Sparkle Goodwyn,Lotts,5/2/1959,12:37:29 AM,5828,43,12/6/1990,Q4,H2,1990,12,December,Dec,6,Thursday,Thu,2666,74088,8%,375-37-8517,212-786-7533,Reading Center,Schuyler,Reading Center,NY,14876,Northeast,rigoodwyn,51CEPJ]r
479122,Mr,Colton,B,Salzman,M,coltonsalzman@hotmailcom,Dennis Salzman,Leesa Salzman,Slattery,9/30/1987,10:03:01 AM,2985,64,9/29/2009,Q3,H2,2009,9,September,Sep,29,Tuesday,Tue,783,191052,29%,073-02-5563,385-775-0225,Ibapah,Tooele,Ibapah,UT,84034,West,cbsalzman,l!Hspr@#$Dk7sq
484002,Ms,Marylynn,G,Ealey,F,marylynnealey@coxnet,Efren Ealey,Kayleen Ealey,Gandara,8/6/1971,09:47:31 PM,4601,45,7/14/2011,Q3,H2,2011,7,July,Jul,14,Thursday,Thu,604,57691,15%,106-98-7919,216-984-8974,Wickliffe,Lake,Wickliffe,OH,44092,Midwest,mgealey,QeJJ:vj6
677207,Ms,Bula,V,Reich,F,bulareich@gmailcom,Dominic Reich,Daphne Reich,Lister,4/21/1971,12:48:20 AM,463,42,5/10/2008,Q2,H1,2008,5,May,May,10,Saturday,Sat,922,155184,4%,753-07-4655,217-307-8597,Forrest,Livingston,Forrest,IL,61741,Midwest,bvreich,6_<OFxu\]
751833,Mr,Irwin,C,River,M,irwinriver@gmailcom,Rocky River,Tabitha River,Rodrigue,7/23/1968,05:21:03 AM,4905,51,8/20/2011,Q3,H2,2011,8,August,Aug,20,Saturday,Sat,594,40471,24%,770-02-0049,201-312-1614,Highland Lakes,Sussex,Highland Lakes,NJ,7422,Northeast,icriver,f*MO@Ay+
954117,Mrs,Larisa,W,Still,F,larisastill@exxonmobilcom,Porfirio Still,Melodi Still,Sandiford,6/2/1962,05:53:37 AM,5519,52,1/18/2017,Q1,H1,2017,1,January,Jan,18,Wednesday,Wed,052,121316,26%,090-02-6498,339-289-4655,Newton,Middlesex,Newton,MA,2195,Northeast,lwstill,19VE!z!Hst[Gz
791004,Mr,Neil,V,Gebhard,M,neilgebhard@gmailcom,Jay Gebhard,Angle Gebhard,Debusk,8/12/1976,12:26:47 PM,4099,87,9/12/2010,Q3,H2,2010,9,September,Sep,12,Sunday,Sun,688,178656,20%,390-33-0765,218-314-7370,Minneapolis,Anoka,Minneapolis,MN,55448,Midwest,nvgebhard,GMqF%yBu
115794,Mr,Kermit,L,Mcphail,M,kermitmcphail@ibmcom,Aaron Mcphail,Chieko Mcphail,Bixler,8/11/1969,07:30:24 AM,4799,75,3/14/1999,Q1,H1,1999,3,March,Mar,14,Sunday,Sun,1839,97020,12%,276-17-0083,209-252-3832,Pico Rivera,Los Angeles,Pico Rivera,CA,90662,West,klmcphail,DWDj/5!i&{6<
690632,Mrs,Julio,P,Dockery,F,juliodockery@aolcom,Freddie Dockery,Lesha Dockery,Antone,5/16/1960,03:47:49 AM,5724,46,9/30/1995,Q3,H2,1995,9,September,Sep,30,Saturday,Sat,2184,140784,6%,677-22-7228,307-872-6444,Casper,Natrona,Casper,WY,82601,West,jpdockery,x[z?R#zvm
